name,rating,review
Sarantos,5,Fantastic and very easy to work with. Always goes the extra mile.
Dianna L.,5,Absolutely. One of the best producers in the music industry very talented courteous and super cool.
Sarantos,5,Pleasure to work with and very quick and responsive!
Leo C.,5,"Matthew did such a great job!! This is the second time we have worked together, he really finds the best in songs and is a great producer to work with!! 10/10"
Hunter M.,5,Matthew is the best vocal producer I've found - his ear training is unmatched and he knows all the nuances and small details / tweaks needed in a vocal performance to bring out the best in you and for the song. If you are serious about your song and want it the strongest it can be he is your guy!
Hunter,5,"Matthew really knows his stuff, did an amazing and helpful job getting my vocal chain dialed in. Thank you!"
Dianna L.,5,"Matthew is an absolute Joy to work with. He produced an amazing single for our female artist. He is professional, accommodating and a very talented producer. We will defninitely work with him again in the near future."
Sarantos,5,Class act and an absolute pro! Totally worth it and very easy to work with.
Matthias K.,5,"Matthew is extremely talented, diligent and professional. He implements feedback quickly and has a great ear for detail. I'm very happy with the production quality of my song. Highly recommended!"
Ricky S.,5,Working with Matthew was fantastic. He really understands pop music and was able to really collaborate with me to achieve the sound I was looking for and present a really cool and polished sounding track as well as vocal mix. Highly receptive to all my notes and great to have him for every step of the process. I think we created something really great together.
Garen C.,5,Matthew has the great talent to achieve the goal that you request. He is the best choice!
Alexander Muravyev,5,It was an unforgettable experience working together with Matt. I am very grateful for the exceptional professionalism and musical creativity that helped to make a cool project.
Elliot Saldivar,5,Matthew worked with me and my budget. He mastered one of my mixes and gave it that extra oomph that it needed.
Christian,5,"Matthew is absolutely incredible. He has a keen ear for production, and he fully understands my artistic vision. He is both personable and professional, which makes it very easy to work with him. I truly couldn’t have asked for a better producer, and I’m looking forward to collaborating with him again in the very near future!"
Leo C.,5,"Matt is such a pro! Did a flawless job on our first single production together, can't wait to continue working together. Easy to communicate, and great to work with. 5/5 Stars!"
Michael Ländin,5,Matthew is - as usual - great to work with. Fast delivery and perfect performance
Sanesia A. Tillman,5,I really enjoyed working with Matthew! He was always available to answer any questions that I had. He knew the exact sound that he was going for for his Artist's song and was able to communicate that through clear instructions so that I knew exactly how to deliver. It has been a pleasure working with him and I hope to work with him again in the future!
Henry K.,5,"Matt has been extremely helpful and patient through out the process, it’s the second we worked together and both experiences are just amazing. He’s really professional and was able to meet our needs in ways we asked for. The mixes sounds really awesome and worth every cents. We’d definitely come back in the future to work with him again!"
AYLA,5,"Matthew is AMAZING!MY FAVORITE PRODUCER ON THIS PLANET!!! He takes every song to the next level, understands my ideas exactly, makes everything sound sooo professional and explains me how he produces so I can try do more by myself... I've learned sooo much from working with him and had a lot of fun and got suuuuuper results. Working with him is more than an upgrade to your music! (lot's of endorphins guaranteed)"
ZackSympsonMusic,5,Matthew is an amazing producer/mix engineer. I highly recomend him and will be working with him again in the future !!
Tayla Jayde,5,"I had a great experience working with Matt. He is such a talent. He took my references and understood the direction I wanted to go in and provided me with regular updates to where the song was at. Super happy with the end result. Highly recommend!"
Justine G.,5,Very skilled and cares about giving you a track you really love! He offered some great advice as well as a wonderful song at the end. I'd definitely recommend him and would hire him again!
